                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.598,                 3.0183,                 1.9424,                      0,                      0,                      0,                      0,                 3.6457,                    inf,                 113.12,               0.070833,              0.0032407,              0.0032407
                      1,                 1.7017,                 2.5398,                 2.0178,                0.00018,                0.04279,                 0.0011,                0.00038,                  3.588,                    inf,                 35.284,               0.040812,              0.0065524,              0.0065524
                      2,                 1.7119,                 2.5065,                 2.0066,                0.00926,                 0.0119,                0.00295,                0.00046,                 1.8084,                 2023.7,                 20.957,               0.010768,               0.009842,               0.009842
                      3,                 1.6935,                 2.4537,                  1.977,                  1e-05,                 0.0037,                  1e-05,                      0,                 5.3118,                 129.53,                 78.017,               0.009901,               0.009901,               0.009901
                      4,                 1.6415,                 2.3463,                 1.9517,                0.26437,                0.02976,                0.00451,                0.00157,                  3.635,                    inf,                 7.4203,               0.009901,               0.009901,               0.009901
                      5,                 1.6058,                 2.2604,                 1.9037,                0.46893,                0.23691,                0.15354,                0.05818,                 2.3004,                 8.1274,                 2.8628,               0.009868,               0.009868,               0.009868
                      6,                  1.543,                 2.1428,                 1.8509,                0.41009,                0.25776,                0.17924,                0.06612,                 2.2292,                 6.2466,                 2.8753,               0.009835,               0.009835,               0.009835
                      7,                 1.5321,                 2.0825,                 1.8122,                0.24081,                0.37947,                0.27085,                0.10025,                 2.2513,                 2.6083,                  2.933,               0.009802,               0.009802,               0.009802
                      8,                 1.4975,                 2.0259,                 1.8088,                0.14775,                  0.434,                0.15872,                0.07147,                 2.1221,                 5.2213,                 2.5495,               0.009769,               0.009769,               0.009769
                      9,                 1.4897,                 1.9748,                 1.8035,                0.18507,                0.42829,                0.24692,                0.09347,                 2.2559,                 2.9374,                 2.8524,               0.009736,               0.009736,               0.009736
                     10,                 1.4601,                 1.9529,                 1.7829,                0.41862,                0.47258,                0.41964,                0.20039,                 2.1549,                  3.531,                 2.5289,               0.009703,               0.009703,               0.009703
                     11,                 1.4477,                 1.8611,                 1.7599,                0.28939,                0.33172,                0.24096,                0.08385,                 2.4959,                 2.7015,                 3.3017,                0.00967,                0.00967,                0.00967
                     12,                  1.419,                 1.8234,                 1.7379,                0.66955,                0.40873,                 0.4739,                0.23048,                 1.7627,                 1.9829,                  2.125,               0.009637,               0.009637,               0.009637
                     13,                 1.3863,                  1.746,                 1.7111,                0.61795,                0.47454,                0.51811,                0.24137,                 1.8275,                  2.057,                 2.2943,               0.009604,               0.009604,               0.009604
                     14,                 1.3925,                 1.7417,                 1.7158,                0.42162,                0.44087,                0.39152,                0.15629,                 2.1146,                   2.17,                 2.7433,               0.009571,               0.009571,               0.009571
                     15,                 1.3586,                 1.7128,                  1.696,                0.60915,                0.60366,                0.58739,                 0.2564,                 2.0879,                 1.9163,                 2.4988,               0.009538,               0.009538,               0.009538
                     16,                 1.3761,                 1.7143,                  1.694,                0.55827,                0.40369,                0.41747,                0.21238,                 1.9761,                 2.4849,                 2.3739,               0.009505,               0.009505,               0.009505
                     17,                 1.3508,                 1.6387,                 1.6841,                0.50924,                0.49092,                 0.4716,                0.22824,                  1.874,                 2.2582,                  2.176,               0.009472,               0.009472,               0.009472
                     18,                 1.3404,                 1.6167,                 1.6766,                0.73545,                0.53076,                0.63191,                0.27949,                 1.7616,                   1.61,                 2.1285,               0.009439,               0.009439,               0.009439
                     19,                 1.3339,                 1.5908,                  1.668,                0.44424,                0.55354,                0.46124,                0.17101,                 2.2299,                 2.1559,                 2.7384,               0.009406,               0.009406,               0.009406
                     20,                 1.3025,                 1.5733,                 1.6423,                0.66159,                0.53526,                0.61635,                 0.2589,                 1.8489,                 2.1084,                 2.2571,               0.009373,               0.009373,               0.009373
                     21,                 1.3116,                 1.5323,                 1.6406,                0.47887,                0.43855,                0.44216,                0.18789,                 2.1576,                 2.5002,                 2.7898,                0.00934,                0.00934,                0.00934
                     22,                  1.353,                 1.5771,                 1.6715,                0.60303,                0.58263,                0.56953,                0.29028,                 1.7585,                 1.6811,                 2.0598,               0.009307,               0.009307,               0.009307
                     23,                 1.3053,                  1.537,                 1.6336,                0.69698,                0.50578,                0.57841,                0.28095,                 1.7671,                 2.0043,                 2.1405,               0.009274,               0.009274,               0.009274
                     24,                 1.2991,                  1.505,                  1.637,                0.58833,                0.63755,                0.60013,                0.27808,                 1.8117,                   1.52,                 2.1674,               0.009241,               0.009241,               0.009241
                     25,                  1.262,                 1.4567,                 1.6044,                0.60666,                0.56521,                0.61092,                0.31475,                 1.6252,                 1.5081,                 1.9622,               0.009208,               0.009208,               0.009208
                     26,                 1.2622,                 1.4133,                 1.6011,                0.59749,                0.50525,                 0.5633,                0.21639,                 2.2154,                 1.9163,                 2.6404,               0.009175,               0.009175,               0.009175
                     27,                 1.2453,                  1.454,                 1.5937,                0.61399,                0.68192,                0.63875,                0.26789,                 1.9657,                  1.733,                 2.3544,               0.009142,               0.009142,               0.009142
                     28,                 1.2425,                 1.4019,                 1.5923,                0.64529,                0.62102,                0.65386,                0.34669,                 1.5902,                 1.5799,                 1.8948,               0.009109,               0.009109,               0.009109
                     29,                 1.2603,                 1.4357,                 1.6058,                0.61533,                0.67358,                0.62848,                0.28759,                 1.9307,                 1.9213,                 2.3224,               0.009076,               0.009076,               0.009076
                     30,                 1.2289,                 1.3958,                 1.5852,                0.62597,                0.56234,                0.56537,                0.28139,                 1.9004,                 2.1083,                 2.3336,               0.009043,               0.009043,               0.009043
                     31,                 1.2466,                 1.3768,                 1.5877,                0.65261,                0.63672,                0.64666,                0.32551,                 1.8582,                  1.955,                 2.2515,                0.00901,                0.00901,                0.00901
                     32,                 1.2376,                 1.3596,                 1.5778,                0.64629,                0.75147,                0.74353,                0.36616,                 1.5935,                 1.3437,                 1.9022,               0.008977,               0.008977,               0.008977
                     33,                 1.2298,                  1.371,                 1.5734,                0.76279,                0.62674,                 0.7281,                 0.3941,                 1.5009,                 1.2738,                 1.8716,               0.008944,               0.008944,               0.008944
                     34,                  1.212,                 1.3347,                 1.5606,                0.66514,                0.62445,                 0.6932,                0.34528,                 1.5392,                 1.4412,                 1.9255,               0.008911,               0.008911,               0.008911
                     35,                 1.1959,                 1.3232,                 1.5568,                0.67529,                0.69125,                0.71755,                 0.3295,                 1.8603,                 1.4686,                 2.2577,               0.008878,               0.008878,               0.008878
                     36,                 1.2017,                 1.2868,                 1.5457,                0.71199,                0.63486,                0.71283,                0.35721,                 1.6631,                  1.545,                  2.028,               0.008845,               0.008845,               0.008845
                     37,                 1.1948,                 1.3023,                 1.5553,                0.73666,                0.77338,                0.77093,                0.40353,                 1.5694,                 1.2108,                 1.9255,               0.008812,               0.008812,               0.008812
                     38,                 1.1651,                 1.2327,                 1.5185,                0.79059,                0.51387,                 0.6886,                0.37252,                 1.6916,                 1.9066,                 2.1007,               0.008779,               0.008779,               0.008779
                     39,                 1.1853,                 1.2736,                 1.5396,                0.70454,                0.73127,                0.77165,                0.35448,                 1.7542,                 1.3466,                 2.0591,               0.008746,               0.008746,               0.008746
                     40,                 1.1751,                 1.2732,                 1.5387,                 0.7688,                0.59997,                0.72591,                0.39115,                 1.6926,                 1.7075,                 2.0552,               0.008713,               0.008713,               0.008713
                     41,                 1.1738,                 1.2378,                 1.5273,                0.79646,                0.74573,                0.81613,                0.45428,                 1.4663,                 1.1713,                 1.7649,                0.00868,                0.00868,                0.00868
                     42,                 1.1546,                 1.2077,                 1.5083,                0.78298,                0.65923,                0.77085,                0.35535,                 1.6307,                 1.2781,                 1.9894,               0.008647,               0.008647,               0.008647
                     43,                 1.1552,                  1.214,                 1.5106,                0.71327,                0.80193,                0.79567,                0.42041,                 1.6487,                 1.2872,                  1.937,               0.008614,               0.008614,               0.008614
                     44,                 1.1499,                 1.1947,                 1.5057,                0.64308,                0.54238,                0.54719,                0.30124,                 2.0847,                 2.2528,                 2.6934,               0.008581,               0.008581,               0.008581
                     45,                  1.148,                 1.2046,                 1.5063,                0.77475,                0.71303,                0.79497,                0.39473,                 1.7009,                 1.2676,                 2.0225,               0.008548,               0.008548,               0.008548
